SmpDate,Name,DOB,Age,Years,Cyst,Male,ODV
10/2/14,Sean,10/24/07,SA,6.940451745,0,1,17.66095403
9/18/14,Ant,12/16/08,A,5.754848277,0,0,18.45136986
9/22/14,Phoenix,12/1/03,A,10.80892083,0,1,18.65136986
9/6/14,Jools,7/1/03,A,11.18412047,0,0,18.98087757
8/17/14,Sega,8/17/04,A,9.998631075,0,1,19.20571475
9/3/14,Vampire,12/1/01,A,12.75553274,0,0,20.8618609
9/6/14,Jinka,5/1/01,A,13.34976044,0,0,22.7618609
8/16/14,Neptune,3/28/12,SA,2.384668036,0,1,23.08681772
5/19/15,Diego,3/11/04,A,11.18674424,0,1,23.76480892
10/4/14,Imposter,2/1/06,A,8.670659366,0,1,24.15136986
8/29/14,Luigi,7/20/99,A,15.11019849,0,1,26.8618609
8/24/14,Vye,2/1/99,A,15.55909195,0,0,27.15136986
8/29/14,Omar,10/21/10,SA,3.854893908,0,1,28.9618609
9/6/14,Dikos,10/12/02,A,11.90143737,0,1,29.0618609
9/1/14,Maze,12/15/04,A,9.711042665,0,0,31.3618609
8/28/14,Zorro,3/31/07,SA,7.411362081,0,1,32.78087757
10/17/14,Dessie,1/27/03,A,11.72062514,0,0,33.88087757
10/16/14,Vortex,10/3/14,I,0.03559206,0,0,34.08087757
8/17/14,Tea,6/4/02,A,12.20260096,0,0,34.1618609
8/16/14,Caesar,1/29/13,I,1.544033767,0,1,35.18087757
9/16/14,Barbara,12/1/98,A,15.79180926,0,0,35.76095403
10/18/14,Imposter,2/1/06,A,8.708989277,0,1,37.35136986
9/3/14,Von Striver,1/29/12,SA,2.595368469,0,0,37.9618609
10/6/14,Cassie,9/4/02,A,12.08761123,0,0,38.20571475
8/24/14,Flying Dutchman,12/13/11,SA,2.696668948,0,1,38.5618609
10/4/14,Dale,5/4/09,SA,5.418206708,0,1,39.65136986
5/18/15,Diego,3/11/04,A,11.18400639,0,1,39.71480892
9/24/14,Biera,4/12/10,SA,4.45174538,0,0,39.9618609
10/2/14,Don Juan,9/14/06,SA,8.049281314,0,1,41.06095403
10/7/14,Devil,1/2/99,A,15.7616929,0,1,42.78087757
8/14/14,Diego,3/11/04,A,10.42562172,0,1,44.45136986
10/17/14,Gaia,10/24/07,A,6.981519507,0,0,44.86095403
8/23/14,Vye,2/1/99,A,15.5563541,0,0,45.0618609
10/17/14,Mary,8/25/97,A,17.14442163,1,0,49.00571475
5/12/15,Zeus,4/12/98,A,17.08145106,1,1,49.74791988
4/16/15,Devil,1/2/99,A,16.2846224,0,1,50.51480892
10/17/14,Sega,8/17/04,A,10.16563997,0,1,54.00571475
6/8/15,Devil,1/2/99,A,16.4297285,0,1,54.1618609
5/22/15,Mary,8/25/97,A,17.73853525,1,0,54.6618609
10/4/14,Wakawaka,7/23/05,A,9.199178645,0,1,55.35136986
10/19/14,Nymphadora,12/18/06,A,7.835614876,0,0,56.20571475
10/5/14,Mekele,1/25/14,I,0.692562172,0,1,56.40571475
4/29/15,Demon,12/10/06,A,8.383185033,0,1,58.41480892
8/31/14,Meena,1/1/98,A,16.66244581,0,0,60.16095403
9/17/14,Naughty,6/15/08,A,6.255989049,0,0,60.40571475
8/25/14,Devil,1/2/99,A,15.64396532,0,1,62.03694387
9/18/14,Okidoki,12/6/94,A,19.78359571,1,0,62.54791988
9/15/15,Debra,5/1/97,A,18.37371663,1,0,62.85136986
10/5/14,Zoo,3/26/01,A,13.52760666,0,0,63.67954925
10/2/14,Debra,5/1/97,A,17.42094456,1,0,64.48087757
10/17/14,Madeline,10/1/05,A,9.04312115,0,0,64.50571475
6/10/15,Ghost,10/24/07,A,7.627652293,1,0,69.0618609
9/24/14,Biera,4/12/10,SA,4.45174538,0,0,69.65136986
5/14/15,Ernie,7/15/01,A,13.82888433,1,1,71.77954925
10/4/14,Yoshi,3/9/06,A,8.572096737,0,1,72.85136986
5/19/15,Zeus,4/12/98,A,17.10061602,1,1,73.0618609
4/27/15,Debra,5/1/97,A,17.98767967,1,0,73.11480892
4/29/15,Debra,5/1/97,A,17.99315537,1,0,73.11480892
5/12/15,Zeus,4/12/98,A,17.08145106,1,1,74.34791988
5/20/15,Yoshi,3/9/06,A,9.196326717,0,1,74.57381867
5/15/15,Devil,1/2/99,A,16.36402008,0,1,76.30571475
6/6/15,Yoshi,3/9/06,A,9.24287018,0,1,76.47381867
10/2/14,Viper,11/1/08,SA,5.916495551,1,1,76.95136986
10/4/14,Bianca,8/16/10,SA,4.134154689,0,0,77.57954925
8/17/14,Violet,2/14/05,A,9.502966005,0,0,81.26095403
4/28/15,Biera,4/12/10,A,5.04312115,0,0,86.11480892
5/21/15,Okidoki,12/6/94,A,20.45436915,1,0,88.27381867
6/10/15,Yoshi,3/9/06,A,9.253821583,0,1,88.47381867
5/12/15,Zeus,4/12/98,A,17.08145106,1,1,92.17954925
9/1/14,Mickey,6/5/12,SA,2.239561944,0,0,92.5618609
10/12/14,Jason Bourne,1/1/08,SA,6.778804472,0,1,93.95136986
5/5/15,Ernie,7/15/01,A,13.80424367,1,1,94.61480892
4/28/15,Oberon,3/20/06,A,9.105977641,0,1,97.21480892
8/24/14,Okidoki,12/6/94,A,19.71514944,1,0,99.27954925
6/6/15,Yoshi,3/9/06,A,9.24287018,0,1,106.0738187
5/20/15,Debra,5/1/97,A,18.05065024,1,0,108.6738187
10/15/14,Flying Dutchman,12/13/11,SA,2.839037189,0,1,111.460954
6/7/15,Yoshi,3/9/06,A,9.245608031,0,1,112.2738187
5/20/15,Ernie,7/15/01,A,13.84531143,1,1,113.0738187
5/20/15,Devil,1/2/99,A,16.37770933,0,1,113.5738187
10/2/14,Viper,11/1/08,SA,5.916495551,1,1,114.6513699
10/4/14,Zeus,4/12/98,A,16.47912389,1,1,115.6013699
5/7/15,Debra,5/1/97,A,18.01505818,1,0,119.4648089
5/14/15,Debra,5/1/97,A,18.03422313,1,0,119.7479199
6/8/15,Debra,5/1/97,A,18.1026694,1,0,127.2738187
5/20/15,Devil,1/2/99,A,16.37770933,0,1,132.6738187
6/8/15,Debra,5/1/97,A,18.1026694,1,0,135.8738187
5/14/15,Ghost,10/24/07,A,7.553730322,1,0,136.2618609
8/17/14,Mary,8/25/97,A,16.97741273,1,0,138.5369439
9/24/14,Beatrice,9/9/98,A,16.04106776,1,0,139.1513699
5/13/15,Oberon,3/20/06,A,9.147045403,0,1,141.5618609
6/10/15,Yoshi,3/9/06,A,9.253821583,0,1,141.8618609
10/5/14,Yellowman,11/6/98,A,15.9122747,1,1,146.0513699
5/18/15,Yoshi,3/9/06,A,9.190851015,0,1,146.3479199
9/23/14,Qtip,1/1/04,A,10.72678531,0,0,148.0013699
8/11/14,Debra,5/1/97,A,17.27857632,1,0,151.3174748
6/7/15,Debra,5/1/97,A,18.09993155,1,0,151.9148089
5/22/15,Ernie,7/15/01,A,13.85078713,1,1,152.1738187
5/22/15,Ernie,7/15/01,A,13.85078713,1,1,153.1738187
10/5/14,Qhorin,4/14/01,A,13.47570157,0,1,154.6513699
10/4/14,Beatrice,9/9/98,A,16.06844627,1,0,154.8513699
5/15/15,Yellowman,11/6/98,A,16.52007757,1,1,156.2295492
4/24/15,Devil,1/2/99,A,16.30652521,0,1,156.7648089
6/8/15,Zeus,4/12/98,A,17.15537303,1,1,156.9738187
8/28/14,Qtip,1/1/04,A,10.65560119,0,0,166.6369439
8/16/14,Walter,4/1/03,A,11.37565594,0,1,181.1795492
6/10/15,Okidoki,12/6/94,A,20.50912617,1,0,185.8738187
6/8/15,Ernie,7/15/01,A,13.8973306,1,1,189.3738187
9/22/14,Beatrice,9/9/98,A,16.03559206,1,0,193.6513699
9/7/14,Zion,1/1/97,A,17.68092631,0,0,196.7513699
8/18/14,Walter,4/1/03,A,11.38113164,0,1,196.9618609
5/22/15,Okidoki,12/6/94,A,20.457107,1,0,201.0738187
10/18/14,Fabio,4/5/06,A,8.536618754,0,1,202.8057148
4/27/15,Debra,5/1/97,A,17.98767967,1,0,204.1148089
9/17/14,Naughty,6/15/08,A,6.255989049,0,0,205.7057148
9/6/14,Beatrice,9/9/98,A,15.99178645,1,0,207.3513699
6/8/15,Okidoki,12/6/94,A,20.50365047,1,0,212.3738187
6/8/15,Ernie,7/15/01,A,13.8973306,1,1,229.1738187
10/11/14,Diego,3/11/04,A,10.58441707,0,1,234.5174748
10/19/14,Viper,11/1/08,SA,5.963039014,1,1,248.560954
8/17/14,Yellowman,11/6/98,A,15.77812001,1,1,257.2513699
10/18/14,Ghost,10/24/07,A,6.984257358,1,0,259.860954
5/19/15,Ernie,7/15/01,A,13.84257358,1,1,268.4738187
6/8/15,Debra,5/1/97,A,18.1026694,1,0,271.9738187
10/4/14,Qhorin,4/14/01,A,13.47296372,0,1,274.4489437
8/16/14,Muppet,2/24/04,A,10.47490303,1,0,278.5513699
6/8/15,Ernie,7/15/01,A,13.8973306,1,1,284.3738187
4/25/15,Muppet,2/24/04,A,11.16484143,1,0,290.6618609
5/21/15,Okidoki,12/6/94,A,20.45436915,1,0,294.2738187
10/29/14,Debra,5/1/97,A,17.49486653,1,0,300.860954
9/18/14,Viper,11/1/08,SA,5.87816564,1,1,302.160954
10/4/14,Borneo,1/28/12,SA,2.682979694,0,0,305.360954
9/18/14,Diego,3/11/04,A,10.5214465,0,1,309.760954
6/8/15,Yoshi,3/9/06,A,9.248345882,0,1,315.9738187
10/31/14,Muppet,2/24/04,A,10.68297969,1,0,325.060954
8/13/14,Muppet,2/24/04,A,10.46668948,1,0,326.0174748
10/18/14,Qhorin,4/14/01,A,13.51129363,0,1,340.060954
